id,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
66,Vistara,UK-832,Chennai,Early_Morning,one,Evening,Bangalore,Business,10.08,40,53720.38
67,Air_India,AI-678,Delhi,Morning,one,Early_Morning,Chennai,Business,22.33,29,46005.71
68,AirAsia,I5-631,Mumbai,Morning,one,Evening,Delhi,Economy,11.75,1,14232.1
69,Air_India,AI-660,Mumbai,Evening,one,Evening,Kolkata,Business,25.17,48,50090.08
70,Air_India,AI-868,Delhi,Evening,one,Early_Morning,Chennai,Business,13.33,32,45321.13
71,Indigo,6E-6205,Delhi,Afternoon,one,Evening,Kolkata,Economy,6.33,23,5676.68
72,Vistara,UK-820,Bangalore,Evening,one,Morning,Hyderabad,Economy,15.67,49,4739.61
73,Vistara,UK-975,Delhi,Early_Morning,one,Night,Hyderabad,Economy,15.17,14,9225.61
74,GO_FIRST,G8-312,Bangalore,Evening,one,Late_Night,Delhi,Economy,7.17,15,8249.79
75,Vistara,UK-826,Chennai,Afternoon,one,Late_Night,Delhi,Economy,11.67,6,12347.69
76,Air_India,AI-806,Mumbai,Early_Morning,one,Late_Night,Bangalore,Economy,16.17,38,6290.46
77,SpiceJet,SG-679,Kolkata,Afternoon,one,Early_Morning,Mumbai,Economy,15.42,16,6029.3
78,Indigo,6E-5368,Mumbai,Night,zero,Night,Chennai,Economy,1.83,25,2473.14
79,Vistara,UK-970,Mumbai,Morning,one,Evening,Kolkata,Business,9.33,43,58627.51
80,Vistara,UK-985,Delhi,Evening,one,Morning,Kolkata,Economy,13.83,14,8987.71
81,Air_India,AI-687,Mumbai,Afternoon,one,Morning,Kolkata,Economy,17.0,49,4679.7
82,Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Kolkata,Economy,12.08,25,5200.17
83,Vistara,UK-772,Kolkata,Morning,one,Night,Bangalore,Economy,10.5,24,6106.83
84,Vistara,UK-824,Chennai,Night,one,Early_Morning,Bangalore,Economy,11.33,18,4651.97
85,Vistara,UK-975,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Business,2.17,22,25377.58
86,Vistara,UK-828,Chennai,Early_Morning,one,Afternoon,Delhi,Business,7.5,32,44886.45
87,Vistara,UK-910,Mumbai,Evening,one,Night,Chennai,Economy,26.67,37,4713.63
88,Air_India,AI-637,Mumbai,Evening,one,Night,Delhi,Economy,26.42,3,12437.58
89,Air_India,AI-808,Bangalore,Night,one,Morning,Chennai,Business,11.92,48,58825.19
90,Vistara,UK-981,Delhi,Night,one,Morning,Bangalore,Economy,11.17,33,4256.14
91,Air_India,AI-516,Bangalore,Early_Morning,one,Evening,Delhi,Economy,10.92,35,4908.41
92,Vistara,UK-832,Chennai,Early_Morning,one,Night,Mumbai,Business,13.17,29,51384.88
93,Vistara,UK-944,Mumbai,Afternoon,one,Evening,Hyderabad,Business,5.17,46,50356.36
94,Vistara,UK-705,Delhi,Early_Morning,two_or_more,Evening,Chennai,Business,12.42,21,55125.61
95,Vistara,UK-951,Delhi,Afternoon,one,Evening,Bangalore,Business,4.92,16,42093.83
96,AirAsia,I5-410,Bangalore,Early_Morning,one,Evening,Delhi,Economy,12.0,17,6610.46
97,Vistara,UK-813,Delhi,Evening,one,Morning,Hyderabad,Economy,15.5,40,4543.06
98,Air_India,AI-766,Chennai,Morning,one,Evening,Delhi,Economy,9.75,3,16656.01
99,Air_India,AI-505,Bangalore,Morning,one,Night,Mumbai,Economy,11.75,46,3372.54
100,Vistara,UK-950,Mumbai,Night,one,Morning,Kolkata,Business,10.67,43,59172.92
101,Air_India,AI-888,Mumbai,Evening,one,Evening,Hyderabad,Economy,24.33,18,7014.75
102,GO_FIRST,G8-512,Kolkata,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.83,9,7953.38
103,GO_FIRST,G8-119,Delhi,Evening,one,Late_Night,Hyderabad,Economy,5.42,12,7286.97
104,AirAsia,I5-631,Mumbai,Morning,one,Afternoon,Delhi,Economy,5.75,39,4988.26
105,GO_FIRST,G8-461,Mumbai,Early_Morning,one,Afternoon,Hyderabad,Economy,9.5,14,8150.98
106,Indigo,6E-6366,Hyderabad,Afternoon,one,Evening,Chennai,Economy,6.25,5,6536.7
107,Air_India,AI-806,Mumbai,Early_Morning,one,Late_Night,Bangalore,Business,16.17,5,54518.68
108,Air_India,AI-773,Kolkata,Evening,one,Early_Morning,Chennai,Business,14.08,18,56645.1
109,Vistara,UK-877,Mumbai,Morning,one,Night,Delhi,Business,12.08,26,43434.53
110,GO_FIRST,G8-392,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,35,2443.82
111,Vistara,UK-873,Mumbai,Early_Morning,one,Night,Delhi,Business,16.5,6,48627.53
112,Vistara,UK-832,Chennai,Early_Morning,one,Evening,Hyderabad,Business,12.75,46,49622.08
113,Air_India,AI-525,Hyderabad,Early_Morning,one,Afternoon,Mumbai,Economy,6.42,8,13435.66
114,Indigo,6E-588,Chennai,Evening,one,Night,Hyderabad,Economy,4.42,34,3096.54
115,Indigo,6E-6217,Chennai,Night,one,Early_Morning,Mumbai,Economy,7.08,35,3843.77
116,Indigo,6E-6217,Chennai,Night,one,Early_Morning,Mumbai,Economy,9.0,22,4206.22
117,Vistara,UK-839,Delhi,Afternoon,one,Night,Mumbai,Economy,9.08,32,4698.9
118,Indigo,6E-552,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,5.25,49,2931.74
119,Vistara,UK-824,Chennai,Night,two_or_more,Night,Hyderabad,Economy,24.42,46,7072.21
120,Vistara,UK-836,Chennai,Morning,one,Evening,Bangalore,Economy,8.5,5,11959.37
121,Vistara,UK-870,Hyderabad,Night,one,Morning,Bangalore,Business,14.25,41,54072.48
122,Indigo,6E-5369,Hyderabad,Evening,one,Late_Night,Kolkata,Economy,6.33,3,13380.53
123,Air_India,AI-411,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8.0,17,6446.85
124,Air_India,AI-442,Mumbai,Afternoon,one,Night,Hyderabad,Business,8.0,23,46118.13
125,Air_India,AI-678,Delhi,Morning,one,Night,Kolkata,Economy,14.67,34,5706.69
126,Air_India,AI-9547,Bangalore,Evening,one,Night,Hyderabad,Economy,26.58,24,5451.83
127,Vistara,UK-880,Hyderabad,Afternoon,one,Night,Bangalore,Economy,9.42,41,4782.12
128,SpiceJet,SG-337,Kolkata,Afternoon,one,Morning,Mumbai,Economy,20.08,2,15819.85
129,Vistara,UK-933,Delhi,Afternoon,one,Morning,Kolkata,Business,18.17,38,49580.64
130,AirAsia,I5-713,Delhi,Evening,two_or_more,Late_Night,Bangalore,Economy,8.75,18,7686.01
131,Air_India,AI-9881,Hyderabad,Afternoon,one,Late_Night,Delhi,Economy,14.42,42,4472.76
132,Vistara,UK-776,Kolkata,Evening,one,Morning,Bangalore,Business,15.25,11,56240.01
133,Vistara,UK-876,Hyderabad,Night,one,Early_Morning,Bangalore,Economy,10.25,24,4803.45
134,SpiceJet,SG-6003,Mumbai,Early_Morning,zero,Early_Morning,Chennai,Economy,2.0,10,6021.94
135,Indigo,6E-892,Kolkata,Afternoon,one,Night,Bangalore,Economy,6.75,47,4867.51
136,Air_India,AI-423,Delhi,Early_Morning,one,Evening,Bangalore,Business,12.25,34,50245.66
137,GO_FIRST,G8-302,Chennai,Early_Morning,one,Afternoon,Delhi,Economy,7.17,27,5382.85
138,GO_FIRST,G8-173,Delhi,Morning,one,Late_Night,Chennai,Economy,15.08,14,8755.7
139,AirAsia,I5-830,Kolkata,Night,zero,Late_Night,Delhi,Economy,2.5,36,4008.32
140,Vistara,UK-828,Chennai,Early_Morning,one,Morning,Bangalore,Economy,25.83,40,4028.69
141,GO_FIRST,G8-790,Bangalore,Afternoon,zero,Evening,Kolkata,Economy,2.5,38,3647.37
142,Air_India,AI-559,Hyderabad,Early_Morning,one,Evening,Chennai,Business,12.5,6,46448.49
143,GO_FIRST,G8-101,Delhi,Early_Morning,one,Night,Mumbai,Economy,14.5,7,7778.09
144,Vistara,UK-893,Bangalore,Evening,zero,Night,Hyderabad,Economy,1.0,31,1732.39
145,Air_India,AI-888,Mumbai,Evening,one,Night,Bangalore,Business,25.08,27,50882.47
146,Vistara,UK-828,Chennai,Early_Morning,zero,Morning,Mumbai,Economy,2.0,32,2902.0
147,Air_India,AI-559,Hyderabad,Early_Morning,one,Night,Bangalore,Economy,13.58,41,4034.25
148,Air_India,AI-406,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.83,4,13072.976
149,GO_FIRST,G8-404,Delhi,Morning,one,Afternoon,Bangalore,Economy,4.5,46,6214.07
150,Air_India,AI-840,Hyderabad,Night,one,Morning,Chennai,Economy,12.08,34,3133.73
151,Indigo,6E-6137,Chennai,Morning,one,Afternoon,Delhi,Economy,5.83,8,8869.82
152,Vistara,UK-988,Mumbai,Night,one,Morning,Kolkata,Business,12.67,24,56481.77
153,SpiceJet,SG-8946,Delhi,Morning,one,Evening,Hyderabad,Economy,6.08,38,6441.87
154,Vistara,UK-776,Kolkata,Evening,one,Evening,Bangalore,Economy,25.67,29,6410.96
155,Vistara,UK-836,Chennai,Morning,one,Evening,Kolkata,Business,7.33,28,55157.34
156,GO_FIRST,G8-512,Kolkata,Early_Morning,one,Afternoon,Delhi,Economy,9.67,21,6979.93
157,Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,12.67,46,4955.72
158,Air_India,AI-543,Hyderabad,Morning,one,Evening,Kolkata,Economy,7.83,28,5887.35
159,Vistara,UK-853,Mumbai,Afternoon,one,Night,Delhi,Economy,5.58,20,5149.48
160,Air_India,AI-570,Mumbai,Early_Morning,one,Afternoon,Kolkata,Economy,8.58,46,4093.7
161,Air_India,AI-773,Kolkata,Evening,one,Morning,Chennai,Business,17.67,38,58217.3
162,Vistara,UK-810,Bangalore,Early_Morning,one,Night,Mumbai,Economy,14.25,43,4646.77
163,Vistara,UK-955,Delhi,Evening,one,Morning,Kolkata,Business,15.92,45,45939.75
164,GO_FIRST,G8-295,Kolkata,Early_Morning,one,Night,Delhi,Economy,14.08,13,7972.16
165,Vistara,UK-890,Hyderabad,Evening,one,Early_Morning,Mumbai,Business,14.25,36,47644.95
166,Vistara,UK-817,Delhi,Evening,zero,Evening,Bangalore,Business,2.75,7,32967.8
167,Air_India,AI-501,Bangalore,Afternoon,one,Evening,Kolkata,Business,5.83,13,57319.39
168,Indigo,6E-413,Hyderabad,Early_Morning,one,Afternoon,Chennai,Economy,5.75,17,4317.21
169,Air_India,AI-738,Bangalore,Morning,one,Evening,Mumbai,Economy,5.58,10,13317.79
170,Vistara,UK-774,Kolkata,Night,one,Afternoon,Hyderabad,Business,15.67,22,52490.06
171,Air_India,AI-9893,Hyderabad,Early_Morning,zero,Early_Morning,Chennai,Economy,1.5,29,2028.01
172,SpiceJet,SG-3835,Kolkata,Night,one,Afternoon,Hyderabad,Economy,19.5,14,8628.05
173,Vistara,UK-880,Hyderabad,Afternoon,one,Morning,Kolkata,Business,19.17,25,55334.2
174,Vistara,UK-822,Chennai,Morning,one,Evening,Kolkata,Business,7.08,33,55873.24
175,Air_India,AI-453,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8.83,43,3570.64
176,Vistara,UK-902,Mumbai,Afternoon,one,Morning,Kolkata,Business,17.83,6,59308.17
177,Indigo,6E-5031,Delhi,Early_Morning,one,Afternoon,Kolkata,Economy,6.25,40,4191.06
178,AirAsia,I5-1563,Kolkata,Evening,one,Night,Bangalore,Economy,4.17,31,5879.39
179,Air_India,AI-9518,Hyderabad,Night,one,Afternoon,Delhi,Economy,16.25,37,5954.38
180,Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Kolkata,Business,12.08,6,59719.37
181,Air_India,AI-429,Delhi,Morning,zero,Afternoon,Chennai,Business,2.83,38,28269.61
182,SpiceJet,SG-535,Bangalore,Evening,zero,Night,Delhi,Economy,2.75,13,7536.05
183,Vistara,UK-821,Mumbai,Early_Morning,one,Afternoon,Delhi,Economy,6.75,12,10396.18
184,Air_India,AI-747,Kolkata,Night,one,Evening,Hyderabad,Economy,19.75,38,6741.29
185,Vistara,UK-859,Delhi,Morning,zero,Afternoon,Hyderabad,Business,2.17,49,25825.68
186,Indigo,6E-5394,Chennai,Early_Morning,zero,Morning,Mumbai,Economy,2.0,8,6256.28
187,Air_India,AI-541,Hyderabad,Evening,one,Night,Mumbai,Economy,5.92,14,10945.22
188,Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Business,6.0,23,45902.98
189,Vistara,UK-988,Mumbai,Night,one,Morning,Hyderabad,Economy,12.75,3,10427.99
190,Air_India,AI-651,Mumbai,Morning,one,Morning,Hyderabad,Economy,23.17,46,4342.16
191,Air_India,AI-774,Mumbai,Night,one,Afternoon,Delhi,Business,16.0,44,25685.28
192,AirAsia,I5-548,Delhi,Early_Morning,one,Evening,Bangalore,Economy,11.5,34,5177.53
193,Vistara,UK-802,Bangalore,Evening,one,Morning,Hyderabad,Business,14.83,8,55086.12
194,AirAsia,I5-767,Mumbai,Early_Morning,one,Evening,Kolkata,Economy,12.17,17,5957.93
195,Indigo,6E-354,Mumbai,Afternoon,one,Evening,Chennai,Economy,4.92,22,4291.68
196,GO_FIRST,G8-390,Mumbai,Early_Morning,one,Morning,Kolkata,Economy,5.83,23,6315.15
197,SpiceJet,SG-8107,Delhi,Early_Morning,zero,Morning,Chennai,Economy,2.92,33,2798.91
198,Vistara,UK-899,Delhi,Afternoon,two_or_more,Morning,Kolkata,Economy,18.92,11,12783.0
199,Vistara,UK-879,Delhi,Evening,one,Night,Mumbai,Economy,5.33,5,12280.81
200,Vistara,UK-977,Delhi,Evening,one,Morning,Chennai,Business,16.92,49,45588.49
201,Vistara,UK-818,Bangalore,Evening,one,Morning,Mumbai,Business,15.5,35,51779.27
202,Air_India,AI-573,Kolkata,Evening,one,Night,Delhi,Economy,26.08,11,14050.39
203,Vistara,UK-857,Mumbai,Night,one,Night,Hyderabad,Economy,23.92,44,5230.14
204,Vistara,UK-816,Bangalore,Morning,zero,Afternoon,Delhi,Economy,2.67,14,7321.29
205,Vistara,UK-988,Mumbai,Night,one,Morning,Hyderabad,Business,12.75,30,49241.17
206,Vistara,UK-738,Kolkata,Evening,one,Evening,Bangalore,Business,22.25,15,55492.67
207,GO_FIRST,G8-171,Delhi,Evening,one,Late_Night,Bangalore,Economy,5.75,34,5780.88
208,Air_India,AI-441,Delhi,Evening,one,Morning,Chennai,Business,17.08,22,48108.58
209,Air_India,AI-887,Delhi,Early_Morning,one,Early_Morning,Chennai,Business,24.33,6,45592.8
210,Vistara,UK-898,Hyderabad,Early_Morning,two_or_more,Night,Kolkata,Economy,15.08,23,7800.2
211,Vistara,UK-993,Delhi,Afternoon,one,Night,Chennai,Business,10.25,9,45729.58
212,Vistara,UK-879,Delhi,Evening,one,Afternoon,Mumbai,Business,20.83,23,39339.74
213,GO_FIRST,G8-102,Kolkata,Afternoon,zero,Evening,Delhi,Economy,2.58,18,4291.29
214,Vistara,UK-866,Bangalore,Night,one,Morning,Chennai,Economy,11.17,42,4241.96
215,Air_India,AI-402,Kolkata,Morning,one,Late_Night,Bangalore,Economy,13.75,41,4891.93
216,Air_India,AI-442,Mumbai,Afternoon,one,Afternoon,Kolkata,Business,22.92,38,49764.36
217,Air_India,AI-867,Mumbai,Night,one,Morning,Kolkata,Economy,11.5,24,5489.4
218,Vistara,UK-737,Delhi,Afternoon,zero,Evening,Kolkata,Business,2.17,46,28453.02
219,Vistara,UK-871,Delhi,Night,zero,Night,Hyderabad,Economy,2.33,2,8082.14
220,GO_FIRST,G8-791,Bangalore,Evening,zero,Night,Kolkata,Economy,2.33,40,3411.4
221,Vistara,UK-727,Delhi,Night,zero,Night,Kolkata,Economy,2.25,39,4024.84
222,Air_India,AI-9517,Bangalore,Evening,one,Afternoon,Delhi,Economy,20.42,38,6068.02
223,Air_India,AI-887,Delhi,Early_Morning,zero,Morning,Mumbai,Business,2.08,40,25763.77
224,Vistara,UK-878,Hyderabad,Afternoon,one,Night,Delhi,Business,9.0,23,42689.14
225,Air_India,AI-787,Kolkata,Early_Morning,one,Afternoon,Delhi,Business,8.83,2,37005.53
226,Air_India,AI-687,Mumbai,Afternoon,one,Morning,Kolkata,Economy,16.08,5,14285.66
227,Vistara,UK-880,Hyderabad,Afternoon,one,Night,Bangalore,Economy,9.92,31,4963.28
228,Indigo,6E-7223,Bangalore,Afternoon,one,Evening,Delhi,Economy,5.17,7,8369.3
229,Air_India,AI-766,Chennai,Early_Morning,one,Evening,Delhi,Economy,11.0,36,4765.61
230,Vistara,UK-830,Hyderabad,Morning,one,Night,Mumbai,Business,10.92,14,48639.11
231,Air_India,AI-805,Delhi,Evening,one,Morning,Bangalore,Economy,15.17,42,4592.05
232,Vistara,UK-707,Delhi,Evening,zero,Evening,Kolkata,Economy,2.08,10,6216.97
233,Air_India,AI-539,Chennai,Evening,two_or_more,Evening,Kolkata,Economy,26.17,11,16343.56
234,Indigo,6E-417,Kolkata,Afternoon,one,Night,Delhi,Economy,7.42,4,10101.7
235,Vistara,UK-894,Hyderabad,Evening,one,Morning,Mumbai,Economy,16.92,41,5127.59
236,Indigo,6E-6182,Mumbai,Early_Morning,one,Evening,Delhi,Economy,9.42,17,4970.69
237,AirAsia,I5-819,Bangalore,Morning,one,Evening,Delhi,Economy,7.0,32,4739.29
238,AirAsia,I5-588,Kolkata,Afternoon,zero,Evening,Bangalore,Economy,2.75,23,4140.69
239,Vistara,UK-835,Delhi,Evening,zero,Night,Chennai,Economy,2.83,40,2798.69
240,Indigo,6E-7561,Kolkata,Early_Morning,one,Evening,Bangalore,Economy,11.08,4,9444.35
241,Vistara,UK-824,Chennai,Night,one,Morning,Kolkata,Business,13.17,4,60353.94
242,Air_India,AI-538,Chennai,Night,one,Morning,Hyderabad,Business,14.17,35,51776.1
243,Air_India,AI-611,Mumbai,Morning,one,Morning,Delhi,Economy,21.33,44,4032.37
244,Vistara,UK-720,Kolkata,Early_Morning,one,Morning,Mumbai,Business,28.33,22,52453.59
245,Air_India,AI-806,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,12.58,13,10924.06
246,Air_India,AI-867,Mumbai,Night,one,Afternoon,Chennai,Business,15.17,26,45720.0
247,Vistara,UK-958,Mumbai,Afternoon,one,Evening,Hyderabad,Business,7.5,7,53628.44
248,Air_India,AI-506,Delhi,Morning,one,Early_Morning,Hyderabad,Economy,22.08,29,5432.01
249,GO_FIRST,G8-302,Chennai,Early_Morning,one,Afternoon,Delhi,Economy,7.17,16,6677.57
250,Vistara,UK-706,Kolkata,Morning,one,Evening,Bangalore,Business,8.58,5,59720.78
251,GO_FIRST,G8-338,Delhi,Morning,one,Evening,Bangalore,Economy,5.67,8,8832.73
252,Vistara,UK-858,Bangalore,Early_Morning,one,Afternoon,Hyderabad,Economy,5.58,39,4906.81
253,Vistara,UK-890,Hyderabad,Evening,one,Night,Mumbai,Business,5.17,16,48653.71
254,Vistara,UK-890,Hyderabad,Evening,one,Morning,Bangalore,Economy,17.17,10,12622.55
255,GO_FIRST,G8-787,Kolkata,Afternoon,one,Evening,Delhi,Economy,6.25,25,8210.85
256,Vistara,UK-977,Delhi,Evening,one,Evening,Kolkata,Business,21.83,22,47130.36
257,Indigo,6E-2188,Delhi,Afternoon,zero,Afternoon,Bangalore,Economy,2.92,40,4479.77
258,Indigo,6E-6151,Hyderabad,Morning,zero,Morning,Chennai,Economy,1.33,27,2207.29
259,Indigo,6E-841,Bangalore,Afternoon,one,Night,Kolkata,Economy,7.17,19,4783.01
260,Air_India,AI-773,Kolkata,Evening,one,Early_Morning,Chennai,Business,14.08,26,56256.33
261,GO_FIRST,G8-791,Bangalore,Evening,zero,Night,Kolkata,Economy,2.33,23,3637.43
262,Air_India,AI-765,Kolkata,Night,one,Morning,Delhi,Economy,12.08,24,5159.1
263,Air_India,AI-804,Bangalore,Early_Morning,one,Afternoon,Mumbai,Business,6.67,31,50255.76
264,Air_India,AI-619,Mumbai,Night,one,Night,Delhi,Economy,26.75,33,3831.59
265,Vistara,UK-852,Bangalore,Morning,one,Evening,Kolkata,Economy,8.58,32,5745.39
266,AirAsia,I5-510,Hyderabad,Early_Morning,zero,Morning,Chennai,Economy,1.25,19,1757.49
267,Air_India,AI-780,Hyderabad,Afternoon,one,Night,Delhi,Business,9.0,47,31391.95
268,Air_India,AI-687,Mumbai,Afternoon,one,Night,Kolkata,Business,6.33,13,50286.53
269,Air_India,AI-765,Kolkata,Evening,one,Evening,Mumbai,Business,22.17,23,49739.44
270,Indigo,6E-929,Chennai,Afternoon,one,Evening,Kolkata,Economy,6.83,11,8031.67
271,Vistara,UK-802,Bangalore,Evening,one,Early_Morning,Mumbai,Economy,13.08,35,4612.31
272,Indigo,6E-5217,Mumbai,Evening,one,Late_Night,Chennai,Economy,8.08,15,8826.86
273,Vistara,UK-657,Bangalore,Morning,one,Evening,Delhi,Business,5.0,6,47221.01
274,Vistara,UK-776,Kolkata,Evening,zero,Night,Mumbai,Business,2.75,37,31735.84
275,AirAsia,I5-550,Delhi,Evening,one,Early_Morning,Hyderabad,Economy,13.92,26,4888.81
